1462_170142_000000_000000	CHAPTER VI	CHAPTER six	false	0.72	10.99	21.279022
1462_170142_000001_000000	The last two days of the voyage Bartley found almost intolerable.	The last two days of the voyage Bartley found almost intolerable.	true	12.5	16.75	21.821148
1462_170142_000001_000001	The stop at Queenstown, the tedious passage up the Mersey, were things that he noted dimly through his growing impatience.	The stop at Queenstown, the tedious passage up the Mersey, were things that he noted dimly through his growing impatience.	true	17.09	24.55	23.296026
1462_170142_000001_000002	He had planned to stop in Liverpool; but, instead, he took the boat train for London.	He had planned to stop in Liverpool; but, instead, he took the boat train for London.	true	25.1	30.22	29.041313
1462_170142_000002_000000	Emerging at Euston at half-past three o'clock in the afternoon, Alexander had his luggage sent to the Savoy and drove at once to Bedford Square.	Emerging at Euston at half past three o'clock in the afternoon, Alexander had his luggage sent to the Savoy and drove at once to Bedford Square.	true	31.07	39.94	23.394835
1462_170142_000002_000001	When Marie met him at the door, even her strong sense of the proprieties could not restrain her surprise and delight.	When Marie met him at the door, even her strong sense of the proprieties could not restrain her surprise and delight.	true	40.64	47.83	24.498718
1462_170142_000002_000002	She blushed and smiled and fumbled his card in her confusion before she ran upstairs. Alexander paced up and down the hallway, buttoning and unbuttoning his overcoat, until she returned and took him up to Hilda's living-room.	She blushed and smiled and fumbled his card in her confusion before she ran upstairs. Alexander paced up and down the hallway, buttoning and unbuttoning his overcoat, until she returned and took him up to Hilda's living room.	false	48.29	63.28	22.929932
1462_170142_000002_000003	The room was empty when he entered.	The room was empty when he entered.	true	64.04	66.01	25.089054
1462_170142_000002_000004	A coal fire was crackling in the grate and the lamps were lit, for it was already beginning to grow dark outside.	A coal fire was crackling in the grate and the lamps were lit, for it was already beginning to grow dark outside.	true	66.11	73.03	21.768873
1462_170142_000002_000005	Alexander did not sit down.	Alexander did not sit down.	true	73.58	75.64	20.77126
1462_170142_000002_000006	He stood his ground over by the windows until Hilda came in.	He stood his ground over by the windows until Hilda came in.	true	76.01	79.57	17
