2277_149874_000000_000000	"Why, Sister Carrie!" she began, and there was a perfunctory embrace of welcome.	"Why, Sister Carrie!" she began, and there was a perfunctory embrace of welcome.	false	0.84	4.59	19.658627
2277_149874_000001_000000	Carrie realised the change of affectional atmosphere at once.	Carrie realised the change of affectional atmosphere at once.	false	4.59	5.61	21.097946
2277_149874_000001_000001	Amid all the maze, uproar, and novelty she felt cold reality taking her by the hand.	Amid all the maze, uproar, and novelty she felt cold reality taking her by the hand.	false	5.61	6.33	16.011951
2277_149874_000001_000002	No world of light and merriment.	No world of light and merriment.	false	6.33	6.51	16
2277_149874_000001_000003	No round of amusement.	No round of amusement.	false	6.51	6.63	11
2277_149874_000001_000004	Her sister carried with her most of the grimness of shift and toil.	Her sister carried with her most of the grimness of shift and toil.	false	6.63	6.99	14
2277_149874_000002_000000	"Why, how are all the folks at home?" she began; "how is father, and mother?"	"Why, how are all the folks at home?" she began; "how is father, and mother?"	false	6.99	7.77	10
2277_149874_000003_000000	Carrie answered, but was looking away.	Carrie answered, but was looking away.	false	7.77	7.95	9
2277_149874_000003_000001	Down the aisle, toward the gate leading into the waiting-room and the street, stood Drouet.	Down the aisle, toward the gate leading into the waiting room and the street, stood Drouet.	false	7.95	8.49	20
2277_149874_000003_000002	He was looking back.	He was looking back.	false	8.49	8.64	-20
2277_149874_000003_000003	When he saw that she saw him and was safe with her sister he turned to go, sending back the shadow of a smile.	When he saw that she saw him and was safe with her sister he turned to go, sending back the shadow of a smile.	false	8.64	9.45	14
2277_149874_000003_000004	Only Carrie saw it. She felt something lost to her when he moved away.	Only Carrie saw it. She felt something lost to her when he moved away.	false	9.45	11.94	16
2277_149874_000003_000005	When he disappeared she felt his absence thoroughly.	When he disappeared she felt his absence thoroughly.	false	11.94	14.94	21.045937
2277_149874_000003_000006	With her sister she was much alone, a lone figure in a tossing, thoughtless sea.	With her sister she was much alone, a lone figure in a tossing, thoughtless sea.	false	14.94	18.15	19.820923
2277_149874_000004_000000	CHAPTER II	CHAPTER two	true	18.15	19.12	21.543371
2277_149874_000005_000000	WHAT POVERTY THREATENED: OF GRANITE AND BRASS	WHAT POVERTY THREATENED: OF GRANITE AND BRASS	true	19.28	22.21	21.427713
2277_149874_000006_000000	Minnie's flat, as the one-floor resident apartments were then being called, was in a part of West Van Buren Street inhabited by families of labourers and clerks, men who had come, and were still coming, with the rush of population pouring in at the rate of 50,000 a year.	Minnie's flat, as the one floor resident apartments were then being called, was in a part of West Van Buren Street inhabited by families of labourers and clerks, men who had come, and were still coming, with the rush of population pouring in at the rate of fifty thousand a year.	true	23.66	38.53	18
2277_149874_000006_000001	It was on the third floor, the front windows looking down into the street, where, at night, the lights of grocery stores were shining and children were playing.	It was on the third floor, the front windows looking down into the street, where, at night, the lights of grocery stores were shining and children were playing.	true	39.23	47.56	21.017117
2277_149874_000006_000002	To Carrie, the sound of the little bells upon the horse-cars, as they tinkled in and out of hearing, was as pleasing as it was novel. She gazed into the lighted street when Minnie brought her into the front room, and wondered at the sounds, the movement, the murmur of the vast city which stretched for miles and miles in every direction.	To Carrie, the sound of the little bells upon the horse cars, as they tinkled in and out of hearing, was as pleasing as it was novel. She gazed into the lighted street when Minnie brought her into the front room, and wondered at the sounds, the movement, the murmur of the vast city which stretched for miles and miles in every direction.	false	47.84	65.41	17
2277_149874_000007_000000	Mrs. Hanson, after the first greetings were over, gave Carrie the baby and proceeded to get supper.	mrs Hanson, after the first greetings were over, gave Carrie the baby and proceeded to get supper.	true	66.38	72.01	19
