2428_83705_000000_000000	MR.	mr
2428_83705_000000_000001	WHITING AND MARY ANN.	WHITING AND MARY ANN.
2428_83705_000001_000000	I did not mean to kiss her; it was a pure accident.	I did not mean to kiss her; it was a pure accident.
2428_83705_000001_000001	Her face was close to mine, or my face was close to hers, and then her lips came into contact with my lips, or my lips came into contact with her lips--I don't know which it was--and then at that moment her mother came into the room, and she said, "Mr.	Her face was close to mine, or my face was close to hers, and then her lips came into contact with my lips, or my lips came into contact with her lips-I don't know which it was-and then at that moment her mother came into the room, and she said, "mr
2428_83705_000001_000002	Whiting, may I ask what is the meaning of this?" I said it meant nothing--nothing!	Whiting, may I ask what is the meaning of this?" I said it meant nothing-nothing!
2428_83705_000001_000003	Absolutely nothing!	Absolutely nothing!
2428_83705_000001_000004	Only I found it difficult to explain, and when I did explain she would not understand.	Only I found it difficult to explain, and when I did explain she would not understand.
2428_83705_000001_000005	Her manner was not at all the sort of thing I care for. The result is that I am engaged to Mary Ann Snelling without being conscious of having entertained any intention of the kind.	Her manner was not at all the sort of thing I care for. The result is that I am engaged to Mary Ann Snelling without being conscious of having entertained any intention of the kind.
2428_83705_000002_000000	Not that I have a word to say against Mary Ann, except that I never knew a girl with quite so many relations.	Not that I have a word to say against Mary Ann, except that I never knew a girl with quite so many relations.
2428_83705_000002_000001	To begin with she had six brothers and five sisters, and she is the eldest of the batch, and there's not one of the brothers whom I feel drawn to.	To begin with she had six brothers and five sisters, and she is the eldest of the batch, and there's not one of the brothers whom I feel drawn to.
2428_83705_000002_000002	Her father is a most remarkable person, to say the least.	Her father is a most remarkable person, to say the least.
2428_83705_000003_000001	I do not know what he meant, and would rather not attempt to imagine.	I do not know what he meant, and would rather not attempt to imagine.
2428_83705_000005_000001	All, apparently, that is left for me to do, is to pay for everything.	All, apparently, that is left for me to do, is to pay for everything.
2428_83705_000005_000002	It is most delightful.	It is most delightful.
2428_83705_000005_000003	It might just as well be some one else's wedding, so unimportant is the part which I am set to play in it.	It might just as well be some one else's wedding, so unimportant is the part which I am set to play in it.
2428_83705_000006_000000	And it is all the result of an accident.	And it is all the result of an accident.
2428_83705_000006_000001	I deny that for the last six months I have been using Mr. Snelling's home as if it were a boarding-house.	I deny that for the last six months I have been using mr Snelling's home as if it were a boarding house.
2428_83705_000006_000002	Nothing of the kind.	Nothing of the kind.
2428_83705_000006_000003	The mere suggestion is absurd.	The mere suggestion is absurd.
2428_83705_000006_000004	It is true that I have dropped in to dinner now and then, or to spend the evening, or for an afternoon call, or for an hour or two in the morning; but that has been simply and solely because the Snelling family have evinced so marked a desire for my society.	It is true that I have dropped in to dinner now and then, or to spend the evening, or for an afternoon call, or for an hour or two in the morning; but that has been simply and solely because the Snelling family have evinced so marked a desire for my society.
2428_83705_000006_000005	The alteration which has taken place in their demeanour since my accident with Mary Ann is, therefore, all the more amazing.	The alteration which has taken place in their demeanour since my accident with Mary Ann is, therefore, all the more amazing.
2428_83705_000007_000000	The accident in question occurred upon the Sunday evening.	The accident in question occurred upon the Sunday evening.
2428_83705_000007_000001	I had been with Mary Ann to church, and had seen her home, and had had a little supper, and it was after supper that it happened.	I had been with Mary Ann to church, and had seen her home, and had had a little supper, and it was after supper that it happened.
2428_83705_000007_000002	I did not go and purchase the engagement ring the first thing on the Monday morning, I own it.	I did not go and purchase the engagement ring the first thing on the Monday morning, I own it.
2428_83705_000007_000003	Certainly not.	Certainly not.
2428_83705_000007_000004	Nor did I take any steps in that direction during the whole of that week.	Nor did I take any steps in that direction during the whole of that week.
2428_83705_000007_000005	I was not pressed for time.	I was not pressed for time.
2428_83705_000008_000000	Besides, I was turning things over in my mind.	Besides, I was turning things over in my mind.
2428_83705_000008_000001	But that was no reason why, the Monday week following, four of her brothers should have called on me on their way to the office, when I was scarcely out of bed, and actually breakfasting, and assailed me in the way in which they did.	But that was no reason why, the Monday week following, four of her brothers should have called on me on their way to the office, when I was scarcely out of bed, and actually breakfasting, and assailed me in the way in which they did.
2428_83705_000009_000000	There was William Henry, John Frank, Ferdinand Augustus, and Stephen Arthur.	There was William Henry, john Frank, Ferdinand Augustus, and Stephen Arthur.
2428_83705_000009_000001	Each of them twice my size and all of them frightfully ignorant and wholly regardless of the sensitive little points of those with whom they came in contact.	Each of them twice my size and all of them frightfully ignorant and wholly regardless of the sensitive little points of those with whom they came in contact.
2428_83705_000009_000002	There is no circumlocution about them. They go straight at what they want; and were scarcely inside my door before they blurted out the purport of their coming.	There is no circumlocution about them. They go straight at what they want; and were scarcely inside my door before they blurted out the purport of their coming.
2428_83705_000009_000003	It was Frederick Augustus; if the thing is possible he is, if anything, more direct even than the rest of his family.	It was Frederick Augustus; if the thing is possible he is, if anything, more direct even than the rest of his family.
2428_83705_000010_000000	"Look here, Whiting, how about Mary Ann's ring?	"Look here, Whiting, how about Mary Ann's ring?
2428_83705_000010_000001	The girl is fretting, but you don't seem to notice it.	The girl is fretting, but you don't seem to notice it.
2428_83705_000010_000002	And as you don't appear to know what is the proper thing to do in a case of this kind, and don't understand that the ring ought to be bought straight away, we've bought it for you."	And as you don't appear to know what is the proper thing to do in a case of this kind, and don't understand that the ring ought to be bought straight away, we've bought it for you."
2428_83705_000011_000000	I gasped--positively gasped.	I gasped-positively gasped.
2428_83705_000013_000000	"That's it; on your account.	"That's it; on your account.
2428_83705_000013_000001	From a cousin of ours who's in that line."	From a cousin of ours who's in that line."
2428_83705_000014_000000	I never saw people like the Snellings for possessing relatives in all sorts of "lines." No matter what you want, or do not want, and never will want, they are sure to have some relative who has dealt in it, his or her whole life long.	I never saw people like the Snellings for possessing relatives in all sorts of "lines." No matter what you want, or do not want, and never will want, they are sure to have some relative who has dealt in it, his or her whole life long.
2428_83705_000015_000000	They produced the ring, and told me what I had to pay for it.	They produced the ring, and told me what I had to pay for it.
2428_83705_000015_000001	A handsome price it was.	A handsome price it was.
2428_83705_000015_000002	I was persuaded that somebody besides that cousin got a profit out of Mary Ann's engagement ring.	I was persuaded that somebody besides that cousin got a profit out of Mary Ann's engagement ring.
2428_83705_000015_000004	I did not want any unpleasantness; and I am quite sure there would have been unpleasantness had I demurred.	I did not want any unpleasantness; and I am quite sure there would have been unpleasantness had I demurred.
2428_83705_000016_000001	Her head dropped on my shoulder, and she kissed me under the chin, observing, "You dear old Sam." The moments when I am alone with Mary Ann are alleviations for those more frequent moments when I am not alone with Mary Ann.	Her head dropped on my shoulder, and she kissed me under the chin, observing, "You dear old Sam." The moments when I am alone with Mary Ann are alleviations for those more frequent moments when I am not alone with Mary Ann.
2428_83705_000016_000002	Still I noticed that the ring fitted her perfectly, and I could not but wonder if she had tried it on before.	Still I noticed that the ring fitted her perfectly, and I could not but wonder if she had tried it on before.
2428_83705_000017_000002	It is from her action in that matter that my suspicion springs.	It is from her action in that matter that my suspicion springs.
2428_83705_000018_000000	The Snellings have an aunt who lives in an out-of-the-way hole at the other end of nowhere.	The Snellings have an aunt who lives in an out of the way hole at the other end of nowhere.
2428_83705_000018_000001	The woman's name is Brady.	The woman's name is Brady.
2428_83705_000018_000002	There she owns a cottage, or it may be a pigstye for all I know.	There she owns a cottage, or it may be a pigstye for all I know.
2428_83705_000018_000003	When she heard of my engagement with Mary Ann, she wrote and suggested that we should spend our honeymoon in her cottage, or pigstye, and that I should pay her rent for it.	When she heard of my engagement with Mary Ann, she wrote and suggested that we should spend our honeymoon in her cottage, or pigstye, and that I should pay her rent for it.
2428_83705_000018_000004	The matter was talked about at dinner.	The matter was talked about at dinner.
2428_83705_000018_000005	Mary Ann was silent for some time; then she quietly remarked:	Mary Ann was silent for some time; then she quietly remarked:
2428_83705_000019_000000	"Don't trouble yourselves to discuss Aunt Brady's proposal.	"Don't trouble yourselves to discuss Aunt Brady's proposal.
2428_83705_000019_000001	I shall do nothing of the kind."	I shall do nothing of the kind."
2428_83705_000020_000000	This observation was followed by perfect silence.	This observation was followed by perfect silence.
2428_83705_000020_000001	The members of the family looked at one another.	The members of the family looked at one another.
2428_83705_000020_000002	But, after a very considerable pause, her mother said, with quite unusual mildness, "Very well, my dear. Then, it's settled."	But, after a very considerable pause, her mother said, with quite unusual mildness, "Very well, my dear. Then, it's settled."
2428_83705_000021_000000	After dinner I took advantage of an opportunity which offered to thank Mary Ann for her action in the matter, because, of course, I had no wish to spend my honeymoon in a place of which I knew nothing, to oblige an aunt of whom I knew still less.	After dinner I took advantage of an opportunity which offered to thank Mary Ann for her action in the matter, because, of course, I had no wish to spend my honeymoon in a place of which I knew nothing, to oblige an aunt of whom I knew still less.
2428_83705_000021_000001	Mary Ann beamed at me, and she said, "You dear old man!" Presently she continued:	Mary Ann beamed at me, and she said, "You dear old man!" Presently she continued:
2428_83705_000022_000000	"Do you know that in marrying me you are doing the best thing for yourself that you ever did in all your life?"	"Do you know that in marrying me you are doing the best thing for yourself that you ever did in all your life?"
2428_83705_000023_000000	I endeavoured to explain to her that I felt sure of it; but I fear that my explanation was a little stumbling.	I endeavoured to explain to her that I felt sure of it; but I fear that my explanation was a little stumbling.
2428_83705_000023_000001	But she went on with the most perfect fluency.	But she went on with the most perfect fluency.
2428_83705_000023_000002	There were no signs of faltering about her flow of language.	There were no signs of faltering about her flow of language.
2428_83705_000024_000000	"You want someone who can look after you; and you could not, by any chance, have chosen a person who will look after you better than I shall."	"You want someone who can look after you; and you could not, by any chance, have chosen a person who will look after you better than I shall."
2428_83705_000025_000000	Such an assurance was most satisfactory.	Such an assurance was most satisfactory.
2428_83705_000025_000001	We had a long confidential chat on matters of business.	We had a long confidential chat on matters of business.
2428_83705_000025_000002	I found that as a woman of business she was beyond all my expectations.	I found that as a woman of business she was beyond all my expectations.
2428_83705_000026_000000	I told her exactly what my income was; and the source from which it came, and all about it.	I told her exactly what my income was; and the source from which it came, and all about it.
2428_83705_000026_000001	She drew up a plan on which we were to lay it out.	She drew up a plan on which we were to lay it out.
2428_83705_000026_000002	It was an admirable plan.	It was an admirable plan.
2428_83705_000026_000003	I had never had one, but I saw clearly that in that way the money would go twice as far.	I had never had one, but I saw clearly that in that way the money would go twice as far.
2428_83705_000027_000000	It turned out that she had a little money of her own; about a hundred and thirty pounds a year.	It turned out that she had a little money of her own; about a hundred and thirty pounds a year.
2428_83705_000027_000001	And, of course, I had my expectations, and she had hers.	And, of course, I had my expectations, and she had hers.
2428_83705_000027_000002	It was plain that together we should manage most comfortably.	It was plain that together we should manage most comfortably.
2428_83705_000027_000003	Delightfully, in fact.	Delightfully, in fact.
2428_83705_000028_000000	"I shall make papa give me five hundred pounds, at least.	"I shall make papa give me five hundred pounds, at least.
2428_83705_000028_000001	'A bird in the hand is worth two in a bush'--and it will be something to have by us."	'A bird in the hand is worth two in a bush'--and it will be something to have by us."
2428_83705_000030_000001	I will take care that my relations do their duty.	I will take care that my relations do their duty.
2428_83705_000030_000002	I have drawn up a list of all the people who ought to give us a present, and I shall tell them what they ought to give--it won't be my fault if I don't get it.	I have drawn up a list of all the people who ought to give us a present, and I shall tell them what they ought to give-it won't be my fault if I don't get it.
2428_83705_000030_000003	Of course there are some people with whom you can't be perfectly plain, but I shall be as plain as I can; there's a way and a manner of doing that kind of thing.	Of course there are some people with whom you can't be perfectly plain, but I shall be as plain as I can; there's a way and a manner of doing that kind of thing.
2428_83705_000030_000004	I have no intention of being presented with an endless collection of duplicates, or a lot of useless rubbish which I don't know what to do with.	I have no intention of being presented with an endless collection of duplicates, or a lot of useless rubbish which I don't know what to do with.
2428_83705_000031_000000	I endeavoured to.	I endeavoured to.
2428_83705_000031_000001	At least I drew up a list of people who ought to meet the occasion, and I tried in more than one instance to drop a hint of what, as I felt, they ought to meet it with.	At least I drew up a list of people who ought to meet the occasion, and I tried in more than one instance to drop a hint of what, as I felt, they ought to meet it with.
2428_83705_000032_000000	But I am bound to admit that so far my success has been as nothing compared with hers.	But I am bound to admit that so far my success has been as nothing compared with hers.
2428_83705_000032_000001	Hers has been prodigious.	Hers has been prodigious.
2428_83705_000032_000002	It is certain that we have a large collection of really valuable property about the house--the wedding presents to Mary Ann.	It is certain that we have a large collection of really valuable property about the house-the wedding presents to Mary Ann.
2428_83705_000032_000003	She has a knack of getting people to do what she wishes and to give her what she wants, which is a little short of miraculous.	She has a knack of getting people to do what she wishes and to give her what she wants, which is a little short of miraculous.
2428_83705_000033_000002	The fact of having given Mary Ann a wedding present seems to fill them with a feeling of rancorous acidity which, to me, is inexplicable.	The fact of having given Mary Ann a wedding present seems to fill them with a feeling of rancorous acidity which, to me, is inexplicable.
2428_83705_000033_000003	My belief is that they have been induced to spend at least twice as much as they intended, and that they resent it.	My belief is that they have been induced to spend at least twice as much as they intended, and that they resent it.
2428_83705_000033_000005	But why, on that account, they should pity me, I altogether fail to understand.	But why, on that account, they should pity me, I altogether fail to understand.
2428_83705_000034_000000	"We have all been giving Mary Ann presents, and I suppose you, Mr. Whiting, have been giving her something too." That was what Mrs. Macpherson said to me only the other day.	"We have all been giving Mary Ann presents, and I suppose you, mr Whiting, have been giving her something too." That was what mrs Macpherson said to me only the other day.
2428_83705_000034_000001	I have given Mary Ann two or three trifles, and I said so.	I have given Mary Ann two or three trifles, and I said so.
2428_83705_000034_000002	"And what," inquired Mrs. Macpherson, "has Mary Ann given you?"	"And what," inquired mrs Macpherson, "has Mary Ann given you?"
2428_83705_000035_000000	"Her love."	"Her love."
2428_83705_000036_000000	Someone sniggered.	Someone sniggered.
2428_83705_000036_000001	I cannot pretend to explain why, except on the supposition that romance is dead; at least in that circle of society in which the Snellings move.	I cannot pretend to explain why, except on the supposition that romance is dead; at least in that circle of society in which the Snellings move.
2428_83705_000036_000002	But that is not the only society the world contains.	But that is not the only society the world contains.
2428_83705_000037_000001	It is true that they are a trifle large for me, and that I shall never be able to keep them on my feet except when I am sitting still.	It is true that they are a trifle large for me, and that I shall never be able to keep them on my feet except when I am sitting still.
2428_83705_000037_000002	But Mary Ann does not seem to think that that matters, so why should I? Her youngest sister, Clara Louisa, has quite gratuitously informed me that she has had them by her for some considerable time, and that, not to put too fine a point on it, they were originally designed for another individual altogether--a Mr. Pilbeam.	But Mary Ann does not seem to think that that matters, so why should I? Her youngest sister, Clara Louisa, has quite gratuitously informed me that she has had them by her for some considerable time, and that, not to put too fine a point on it, they were originally designed for another individual altogether-a mr Pilbeam.
2428_83705_000038_000001	It is true that there are times when I am a little disposed to wish that she were not quite so good a manager; now and then every man likes to call his soul his own.	It is true that there are times when I am a little disposed to wish that she were not quite so good a manager; now and then every man likes to call his soul his own.
2428_83705_000038_000002	On the other hand, she is well qualified to protect me from the rest of the family.	On the other hand, she is well qualified to protect me from the rest of the family.
2428_83705_000038_000003	She will keep them at bay.	She will keep them at bay.
2428_83705_000038_000005	Which is just as well.	Which is just as well.
2428_83705_000038_000006	If she had been like me they would have rent us limb from limb.	If she had been like me they would have rent us limb from limb.
2428_83705_000038_000007	As it is, unless I am mistaken, some of the rending will be on our side.	As it is, unless I am mistaken, some of the rending will be on our side.
2428_83705_000038_000008	And they know it!	And they know it!
2428_83705_000039_000000	P.S.--The cards are out for the wedding.	p s--The cards are out for the wedding.
2428_83705_000039_000001	It is to take place on Tuesday fortnight.	It is to take place on Tuesday fortnight.
2428_83705_000039_000002	We are going for our honeymoon to Italy and the South of France.	We are going for our honeymoon to Italy and the South of France.
2428_83705_000039_000003	A second cousin of Mary Ann's is in the Cook's Tours line.	A second cousin of Mary Ann's is in the Cook's Tours line.
2428_83705_000039_000004	He has given us free passes all the way to the end of our journey, and all the way back again; and coupons for free board and lodging at the hotel.	He has given us free passes all the way to the end of our journey, and all the way back again; and coupons for free board and lodging at the hotel.
2428_83705_000039_000005	It's a wedding present.	It's a wedding present.
2428_83705_000039_000006	So that, as Mary Ann says, our honeymoon need cost us practically nothing.	So that, as Mary Ann says, our honeymoon need cost us practically nothing.
2428_83705_000039_000007	Besides which we can always sell the coupons and railway passes which we don't use.	Besides which we can always sell the coupons and railway passes which we don't use.
2428_83705_000040_000000	Nothing could be more delightful.	Nothing could be more delightful.
