7976_110124_000005_000000	Long ago there lived a merchant who had three daughters.	Long ago there lived a merchant who had three daughters.
7976_110124_000005_000001	Every year at a certain day of a certain month he went away to a distant city to collect money on an account.	Every year at a certain day of a certain month he went away to a distant city to collect money on an account.
7976_110124_000005_000002	His wife and daughters remained at home, and all went well until one sad day the wife died.	His wife and daughters remained at home, and all went well until one sad day the wife died.
7976_110124_000005_000003	That year the merchant looked forward to his journey with dread for he would have to leave his daughters alone.	That year the merchant looked forward to his journey with dread for he would have to leave his daughters alone.
7976_110124_000006_000000	"I cannot bear to go away," he said to them.	"I cannot bear to go away," he said to them.
7976_110124_000006_000001	"My heart is filled with fear lest some evil may befall you during my absence."	"My heart is filled with fear lest some evil may befall you during my absence."
7976_110124_000007_000000	He worried about the matter night and day.	He worried about the matter night and day.
7976_110124_000008_000000	However, the question of leaving three such pretty girls unprotected was a thing not to be regarded lightly.	However, the question of leaving three such pretty girls unprotected was a thing not to be regarded lightly.
7976_110124_000009_000000	"Do not be afraid to leave us, dear father," said his daughters. "Nothing will harm us while you are away."	"Do not be afraid to leave us, dear father," said his daughters. "Nothing will harm us while you are away."
7976_110124_000010_000000	"How do you know?" asked their father.	"How do you know?" asked their father.
7976_110124_000010_000001	"I am older and wiser than you are and I know that there are many evils which might come upon you. There are many bold thieves in this city, for instance, who would be only too ready to take advantage of my absence and rob my home of all I possess."	"I am older and wiser than you are and I know that there are many evils which might come upon you. There are many bold thieves in this city, for instance, who would be only too ready to take advantage of my absence and rob my home of all I possess."
7976_110124_000011_000000	"We can lock ourselves securely in the house and not let any one enter," said the three daughters.	"We can lock ourselves securely in the house and not let any one enter," said the three daughters.
7976_110124_000012_000000	"Be sure that you admit no one," commanded the merchant.	"Be sure that you admit no one," commanded the merchant.
7976_110124_000013_000000	They gave him their promise and he started on his journey. Nevertheless, he went with an anxious heart.	They gave him their promise and he started on his journey. Nevertheless, he went with an anxious heart.
7976_110124_000014_000000	Now, outside this city there was a band of bold robbers.	Now, outside this city there was a band of bold robbers.
7976_110124_000014_000001	The captain of the band had watched the merchant's departure, and when he was safely away the thief dressed himself in the disguise of an old beggar. When it was evening he led his band into a nearby street and in his disguise approached the merchant's house.	The captain of the band had watched the merchant's departure, and when he was safely away the thief dressed himself in the disguise of an old beggar. When it was evening he led his band into a nearby street and in his disguise approached the merchant's house.
7976_110124_000014_000002	He knocked at the door.	He knocked at the door.
7976_110124_000015_000000	"Have pity upon a poor unfortunate one!" he called out.	"Have pity upon a poor unfortunate one!" he called out.
7976_110124_000015_000002	Let me enter, I pray you, to pass the night under your roof."	Let me enter, I pray you, to pass the night under your roof."
