8297_275156_000000_000000	Chapter XLI.	Chapter forty one.	false	0.81	33.315	21.759876
8297_275156_000000_000001	Make the Best of It.	Make the Best of It.	true	33.315	35.2	33.165947
8297_275156_000001_000000	For a moment the two men looked at each other without speaking. Herbert's wondering eyes accurately reflected his brother's astonishment.	For a moment the two men looked at each other without speaking. Herbert's wondering eyes accurately reflected his brother's astonishment.	true	37.94	46.9	26.521624
8297_275156_000002_000000	"What are you doing here?" he asked.	"What are you doing here?" he asked.	true	48.2	51.1	24.876352
8297_275156_000002_000001	Suspicion overclouded his face as he put the question.	Suspicion overclouded his face as he put the question.	true	51.8	55.78	24.201307
8297_275156_000002_000002	"You have been to the hotel?" he burst out; "you have seen Catherine?"	"You have been to the hotel?" he burst out; "you have seen Catherine?"	true	57.08	60.97	24.565273
8297_275156_000003_000000	Randal could deny that he had seen Catherine, with perfect truth--and did deny it in the plainest terms.	Randal could deny that he had seen Catherine, with perfect truth-and did deny it in the plainest terms.	true	62.63	69.79	25.824165
8297_275156_000003_000001	Herbert was satisfied.	Herbert was satisfied.	true	70.25	72.22	24.049904
8297_275156_000003_000002	"In all my remembrance of you," he said, "you have never told me a lie.	"In all my remembrance of you," he said, "you have never told me a lie.	true	72.86	77.56	21.897379
8297_275156_000003_000003	We have both seen the same newspaper, of course--and you have been the first to clear the thing up.	We have both seen the same newspaper, of course-and you have been the first to clear the thing up.	true	78.38	83.77	25.721563
8297_275156_000003_000004	That's it, isn't it?"	That's it, isn't it?"	true	84.14	85.66	31.600595
8297_275156_000004_000000	"I wonder who this other Mrs. Norman is; did you find out?"	"I wonder who this other mrs Norman is; did you find out?"	false	86.96	91.78	22.607983
8297_275156_000005_000000	"No."	"no"	true	93.05	93.79	23.2984
8297_275156_000006_000000	"She's not Catherine, at any rate; I, for one, shall go home with a lighter heart." He took his brother's arm, to return to the other platform.	"She's not Catherine, at any rate; I, for one, shall go home with a lighter heart." He took his brother's arm, to return to the other platform.	true	94.55	104.17	25.439903
8297_275156_000006_000001	"Do you know, Randal, I was almost afraid that Catherine was the woman.	"Do you know, Randal, I was almost afraid that Catherine was the woman.	true	104.9	108.97	20.82552
8297_275156_000006_000002	The devil take the thing, and the people who write in it!"	The devil take the thing, and the people who write in it!"	true	109.7	112.54	24.39707
8297_275156_000007_000000	He snatched a newspaper out of his pocket as he spoke--tore it in half--and threw it away.	He snatched a newspaper out of his pocket as he spoke-tore it in half-and threw it away.	true	112.94	118.03	25.367249
8297_275156_000007_000001	"Malcolm meant well, poor fellow," he said, referring to the old servant, "but he made a miserable man of me for all that."	"Malcolm meant well, poor fellow," he said, referring to the old servant, "but he made a miserable man of me for all that."	true	118.97	127.27	22.113495
8297_275156_000008_000000	Not satisfied with gossip in private, the greedy public appetite devours gossip in print, and wants more of it than any one editor can supply. Randal picked up the torn newspaper.	Not satisfied with gossip in private, the greedy public appetite devours gossip in print, and wants more of it than any one editor can supply. Randal picked up the torn newspaper.	true	129.05	142.66	26.166664
8297_275156_000008_000001	It was not the newspaper which he had bought at the station.	It was not the newspaper which he had bought at the station.	true	143	146.68	30.08322
8297_275156_000008_000002	Herbert had been reading a rival journal, devoted to the interests of Society--in which the report of Mrs. Norman's marriage was repeated, with this difference, that it boldly alluded to Captain Bennydeck by name.	Herbert had been reading a rival journal, devoted to the interests of Society-in which the report of mrs Norman's marriage was repeated, with this difference, that it boldly alluded to Captain Bennydeck by name.	true	147.74	163.18	24.23017
8297_275156_000008_000003	"Did Malcolm give you this?" Randal asked.	"Did Malcolm give you this?" Randal asked.	true	163.97	166.72	30.327927
8297_275156_000009_000000	"Yes; he and the servant next door subscribe to take it in; and Malcolm thought it might amuse me.	"Yes; he and the servant next door subscribe to take it in; and Malcolm thought it might amuse me.	false	167.93	176.14	24.14443
8297_275156_000009_000001	It drove me out of the house and into the railway.	It drove me out of the house and into the railway.	true	176.87	179.68	23.333233
8297_275156_000009_000002	If it had driven me out of mind, I shouldn't have been surprised."	If it had driven me out of mind, I shouldn't have been surprised."	true	180.11	184.6	23.599129
8297_275156_000010_000000	"Gently, Herbert!	"Gently, Herbert!	true	185.93	187.75	28.116812
8297_275156_000010_000001	Supposing the report had been true--?"	Supposing the report had been true-?"	true	188.09	191.11	29.883535
8297_275156_000011_000000	"After what you have told me, why should I suppose anything of the sort?"	"After what you have told me, why should I suppose anything of the sort?"	true	192.29	195.79	24.027538
8297_275156_000012_000000	"Don't be angry; and do pray remember that the Divorce allows you and Catherine to marry again, if you like."	"Don't be angry; and do pray remember that the Divorce allows you and Catherine to marry again, if you like."	true	197.24	203.98	27.063164
